	Wil J7	Wil J30	Wil J90	Wil eutha	Shep J7	Shep J30	Shep J90	Shep eutha	Monk J7	Monk J30	Monk J90	Monk eutha	Walc J7	Walc J30	Walc J90	Walc eutha	Rub J7	Rub J30	Rub J90	Rub eutha	Woo J7	Woo J30	Woo eutha
AIMP1	1.1532	-1.2303	-1.6857	-1.8108	-1.0691	-1.2524	-1.6403	-2.0501	1.1155	-1.0976	-1.2669	3.977	1.08	2.0368	-1.0002	-1.5433	-1.2825	-2.9275	-1.242	-1.4083	1.0634	1.0126	-1.0885
BMP2	-1.3607	-1.948	1.3247	-1.4446	-1.3816	1.7744	3.0168	-1.2532	1.1078	1.0451	1.9954	6.0071	1.3426	-6.0657	1.3275	1.0175	4.4076	-3.0624	1.1129	1.4399	1.15	-1.077	-1.0661
CCL1	-1.7211	1.498	-1.3171	-3.3721	0	1.6915	1.08	-4.6708	0	14.9147	0	-1.4106	0	-7.6511	3.9605	-1.3013	0	0	2.4072	0	0	-1.4897	0
CCL11	0	-1.0367	2.0121	3.1984	2.739	7.1025	6.1008	3.5636	1.3838	2.4413	11.3504	12.1735	0	-9.6175	12.7345	3.249	1.1088	2.7082	24.6811	14.2215	-1.1355	4.2398	13.8774
CCL13	-2.8905	-3.3659	4.7888	1.5458	2.4194	2.8945	2.6629	1.5936	-1.0908	3.3512	66.0582	3.3512	-2.6027	-1.6073	3.2325	1.8803	6.9692	-1.255	5.3307	3.4319	3.0286	-1.2968	3.0816
CCL17	1.1017	7.4694	1.6411	-3.1311	-1.8042	1.714	11.3687	2.1043	1.3838	5.6752	10.4807	2.5485	-2.1361	-1.5472	4.292	2.2705	-2.3538	1.4911	11.9948	5.6295	-2.4492	2.558	2.9994
CCL2	-1.8306	2.5847	11.2642	-1.184	1.5808	4.5704	5.9918	2.3757	-1.7379	4.5148	25.3281	3.8282	-1.0338	-61.0816	11.0094	2.0691	5.7797	2.7979	6.3658	3.7218	2.7051	5.2964	3.2393
CCL20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL23	2.5432	-1.1392	0	1.1191	-1.0086	1.3569	1.9212	-1.0797	-1.318	2.3533	-1.915	-1.2426	-1.4369	-16.4005	1.8451	-2.6703	1.1867	1.3532	1.266	2.6945	-1.0405	3.7321	-1.0543
CCL5	-2.2475	19.918	1.3037	-1.1548	1.5547	4.2732	3.0568	3.7072	3.2169	3.0497	6.6238	2.8337	0	-3.3698	19.142	2.0056	-1.3604	1.6927	5.5264	5.6022	-1.1168	3.9834	7.9871
CCR1	-1.217	7.0714	5.6595	1.6857	1.9128	8.8418	12.1341	2.0482	0	10.18	9.9982	1.2524	-1.7975	-15.3447	5.6009	1.9252	2.4351	7.4144	9.6889	2.8167	1.0738	2.0167	5.8145
CCR3	0	2.5651	0	0	1.2394	0	1.5347	3.1895	0	0	0	1.7748	0	-5.6752	1.3676	0	1.0403	0	1.4413	-1.1583	0	0	2.8593
CCR4	1.5677	6.4308	1.3376	-1.7299	-1.1183	1.7695	1.1991	9.1981	-1.2366	2.2372	6.1079	1.7251	0	-4.4127	2.8593	1.7975	-3.078	0	2.3349	4.0222	0	-1.4221	5.8509
CCR6	0	2.2084	1.1693	1.3373	0	0	1.0295	4.6665	0	1.2249	2.5627	-1.1418	1.2492	-3.6167	-1.2246	0	-3.7192	1.3941	1.2486	2.0097	0	0	2.8396
CCR8	-1.8665	1.7327	1.0095	-2.0543	1.5217	1.2086	-1.5999	-2.1179	-1.7355	1.5206	-1.6659	-1.1953	1.4753	0	1.0517	-1.6518	-1.0389	2.3011	1.783	1.8038	-1.4931	-1.8712	1.8096
CD40LG	-1.5848	7.0616	-1.374	-3.2348	3.177	1.4736	1.7291	1.2775	-1.6081	1.2334	8.3494	5.3616	1.0792	-2.3435	6.1376	2.3182	-3.6604	6.5629	1.6636	3.668	-1.0284	2.0449	4.0018
