	AIMP1	BMP2	CCL1	CCL11	CCL13	CCL17	CCL2	CCL20	CCL23	CCL5	CCR1	CCR3	CCR4	CCR6	CCR8	CD40LG	CD70	CSF1	CSF2	CX3CL1	CX3CR1	CXCL11	CXCL12	CXCL13	CXCL6	CXCL9	CXCR1	CXCR4	FASLG	IFNA2	IFNG	IL10RA	IL10RB	IL11RA	IL12B	IL12RB1	IL12RB2	IL13	IL15	IL15RA	IL16	IL17A	IL17F	IL1A	IL1B	IL1R1	IL1R2	IL1RN	IL2	IL20	IL21	IL2RA	IL2RB	IL2RG	IL3	IL4	IL5	IL5RA	IL6	IL6R	IL7	IL8	IL8RB	IL9R	LOC708339	LOC710618	LOC712292	LOC714751	LOC716099	LTA	MIF	NAMPT	OSM	PF4	SPP1	TNF	TNFRSF11B	TNFSF10	TNFSF11	TNFSF13B	TNFSF14	TNFSF4	VEGFA	XCL1
Wil J7	0.35225	0.00776	0.00039	NA	0.00770	0.00039	0.00126	NA	0.00096	0.00039	0.00039	NA	0.00039	NA	0.00046	0.00045	0.00117	0.00906	NA	0.00145	0.01424	0.00421	0.43038	NA	NA	0.00089	NA	0.00461	NA	0.00056	NA	0.00272	0.03286	0.03584	NA	0.01024	0.00923	NA	0.00867	0.02958	0.00983	NA	NA	NA	0.00191	0.00348	0.00092	NA	0.00524	NA	0.00081	0.01164	0.00039	0.00089	NA	0.00077	NA	NA	0.00207	0.11412	0.00042	0.00039	0.00071	NA	NA	NA	NA	0.00039	0.00039	0.00039	0.12013	0.23256	NA	0.00299	0.00535	NA	0.00048	0.10472	NA	0.00411	0.00039	0.00525	0.16061	0.00059
Wil J30	0.23564	0.00965	0.00054	0.00200	0.01191	0.00359	0.05612	NA	0.00250	0.01776	0.00902	0.00066	0.00243	0.00057	0.00075	0.00495	0.00679	0.03971	NA	0.00293	0.01564	0.03611	0.45744	0.00141	NA	0.16593	NA	0.06146	0.00931	NA	0.00222	0.05090	0.09724	0.05786	0.00225	0.00683	0.01483	NA	0.01693	0.04253	0.05146	NA	NA	NA	0.00117	0.01702	0.00299	0.00183	0.00293	NA	0.00164	0.00527	0.00624	0.01660	NA	0.00095	NA	NA	0.00430	0.21134	0.00379	0.00048	0.01917	0.00080	0.00044	NA	NA	0.00265	0.00037	0.00053	0.28179	0.13733	NA	0.00041	0.00591	0.00558	0.00117	0.18668	0.00205	0.05440	0.00192	0.01823	0.09354	0.00530
Wil J90	0.21668	0.01140	0.00050	0.00070	0.02089	0.00061	0.01128	NA	NA	0.00202	0.00198	NA	0.00047	0.00041	0.00040	0.00040	0.00224	0.01680	NA	0.00146	0.01075	0.00982	0.32549	0.00051	NA	0.01983	NA	0.02056	0.00140	0.00040	0.00072	0.01296	0.04221	0.03335	0.00068	0.00518	0.00884	NA	0.00770	0.02149	0.01930	NA	NA	NA	0.00040	0.00972	0.00137	NA	0.00766	NA	0.00060	0.00679	0.00084	0.00240	0.00040	0.00081	NA	NA	0.00186	0.08448	0.00142	NA	0.00981	NA	0.00055	NA	NA	0.00081	0.00043	NA	0.14395	0.22464	NA	0.00994	0.00532	0.00171	0.00040	0.09557	0.00073	0.00795	0.00093	0.00713	0.07059	0.00086
Wil JF	0.24787	0.00719	0.00021	0.00057	0.01459	0.00021	0.00359	NA	0.00031	0.00076	0.00058	NA	0.00021	0.00021	0.00046	0.00076	0.00151	0.01416	NA	0.00148	0.01632	0.00340	0.42800	NA	0.00021	0.00423	NA	0.00729	0.00021	0.00021	0.00021	0.00352	0.02353	0.02875	NA	0.00783	0.00750	NA	0.00529	0.01814	0.01374	NA	NA	NA	0.00068	0.00374	0.00113	0.00021	0.00294	NA	0.00021	0.00613	0.00021	0.00081	0.00030	0.00050	0.00021	NA	0.00370	0.08314	0.00084	0.00021	0.00271	NA	NA	0.00021	NA	0.00021	0.00021	NA	0.08818	0.21400	NA	0.00031	0.00244	0.00030	0.00139	0.08430	NA	0.00175	0.00026	0.00538	0.13019	0.00021
C-Wil J7	0.30545	0.01055	0.00067	NA	0.02225	0.00035	0.00231	NA	0.00038	0.00088	0.00048	NA	0.00025	NA	0.00085	0.00071	0.00264	0.01929	NA	0.00192	0.01623	0.00284	0.36476	NA	NA	0.00091	NA	0.00510	NA	0.00045	NA	0.00572	0.03665	0.03673	NA	0.01377	0.00820	NA	0.00693	0.02717	0.01474	NA	NA	NA	0.00109	0.00488	0.00146	NA	0.00663	NA	0.00119	0.01239	0.00021	0.00102	NA	0.00067	NA	NA	0.00223	0.13268	0.00024	0.00044	0.00345	NA	NA	NA	NA	0.00025	0.00021	0.00021	0.11088	0.23181	NA	0.00416	0.00489	NA	0.00083	0.09632	NA	0.00422	0.00037	0.00539	0.16946	0.00021
C-Wil J30	0.28991	0.01880	0.00036	0.00208	0.04010	0.00048	0.02171	NA	0.00285	0.00089	0.00128	0.00026	0.00038	0.00026	0.00043	0.00070	0.00469	0.03363	NA	0.00329	0.02501	0.01919	0.33279	0.00026	NA	0.02113	NA	0.00360	0.00030	NA	0.00026	0.00951	0.04862	0.04340	0.00026	0.01015	0.00665	NA	0.00983	0.02682	0.02009	NA	NA	NA	0.00027	0.01320	0.00268	0.00053	0.00334	NA	0.00026	0.01301	0.00037	0.00143	NA	0.00091	NA	NA	0.00248	0.09866	0.00104	0.00026	0.00334	0.00026	0.00026	NA	NA	0.00047	0.00053	0.00026	0.15962	0.21120	NA	0.00208	0.00806	0.00165	0.01997	0.11031	0.00045	0.00554	0.00041	0.00693	0.13992	0.00058
C-Wil J90	0.36526	0.00860	0.00066	0.00035	0.00436	0.00037	0.00100	NA	NA	0.00155	0.00035	NA	0.00035	0.00035	0.00040	0.00055	0.00181	0.01114	NA	0.00193	0.01705	0.00224	0.28877	0.00035	NA	0.00215	NA	0.00621	0.00035	0.00066	0.00035	0.00335	0.04921	0.04478	0.00035	0.02423	0.00664	NA	0.01081	0.03082	0.00842	NA	NA	NA	0.00056	0.00291	0.00146	NA	0.00811	NA	0.00035	0.02545	0.00035	0.00103	0.00062	0.00119	NA	NA	0.00282	0.19439	0.00051	NA	0.00123	NA	0.00035	NA	NA	0.00035	0.00035	NA	0.13453	0.30334	NA	0.01024	0.00367	0.00035	0.00046	0.13351	0.00035	0.00225	0.00062	0.00734	0.23342	0.00035
C-Wil JF	0.44886	0.01038	0.00070	0.00018	0.00944	0.00065	0.00425	NA	0.00028	0.00088	0.00034	NA	0.00036	0.00016	0.00095	0.00246	0.00208	0.01768	NA	0.00245	0.03249	0.01342	0.34325	NA	0.00012	0.00753	NA	0.00965	0.00028	0.00047	0.00021	0.00393	0.04705	0.04734	NA	0.01102	0.01638	NA	0.01143	0.03956	0.01820	NA	NA	NA	0.00189	0.00590	0.00138	0.00030	0.01296	NA	0.00144	0.01841	0.00018	0.00181	0.00030	0.00200	0.00014	NA	0.00521	0.12599	0.00150	0.00012	0.00384	NA	NA	0.00034	NA	0.00013	0.00013	NA	0.11894	0.26032	NA	0.00124	0.00525	0.00025	0.00114	0.21336	NA	0.00385	0.00054	0.00924	0.36636	0.00034
Shep J7	0.28185	0.00956	NA	0.00102	0.01682	0.00025	0.00261	NA	0.00205	0.00250	0.00056	0.00036	0.00055	NA	0.00050	0.00093	0.01764	0.02308	NA	0.00116	0.01891	0.00080	0.34317	0.00026	NA	0.00101	0.00061	0.00342	0.00103	0.00062	NA	0.00716	0.03299	0.02963	NA	0.00455	0.00694	0.00081	0.00882	0.01852	0.01647	NA	NA	NA	0.00060	0.00917	0.00315	NA	0.00520	0.00025	0.00037	0.00958	0.00044	0.00060	0.00176	0.00083	0.00067	0.00042	0.00258	0.08380	0.00029	NA	0.00339	NA	NA	NA	NA	0.00088	0.00025	0.00039	0.08385	0.28937	0.00028	0.00504	0.00514	0.00038	0.00070	0.05374	0.00029	0.00346	0.00076	0.00597	0.12500	0.00025
Shep J30	0.40276	0.01015	0.00042	0.00314	0.01290	0.00066	0.02838	NA	0.00333	0.00375	0.00265	NA	0.00046	NA	0.00126	0.00122	0.00183	0.04766	NA	0.00400	0.02363	0.02124	0.19765	0.00081	NA	0.20533	0.00047	0.00877	0.00157	0.00119	0.00059	0.01255	0.04747	0.04092	0.00042	0.00783	0.01065	NA	0.01852	0.05180	0.01653	NA	NA	NA	0.00054	0.01253	0.00193	0.00031	0.00727	NA	0.00173	0.02211	0.00216	0.00405	NA	0.00145	NA	NA	0.00337	0.14399	0.00125	0.00075	0.00323	NA	NA	NA	NA	0.00133	0.00033	NA	0.12843	0.30124	NA	0.00616	0.00268	0.00295	0.00081	0.19601	0.00034	0.01644	0.00042	0.01085	0.24588	0.00527
