	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10	gene11	gene12	gene13	gene14	gene15	gene16	gene17	gene18	gene19	gene20	gene21	gene22	gene23	gene24	gene25	gene26	gene27	gene28	gene29
ind1	0.00136	0.000632	0.008237	0.004602	0.047773	0.2138	0.000303	0.05545	NA	0.000354	0.002346	0.000689	NA	0.003918	0.530099	0.000228	0.000926	0.00465	0.000205	0.029963	0.000301	0.000309	0.006812	0.002821	0.09601	0.199621	0.000733	0.043085	0.020852
ind2	0.001928	0.000889	0.004568	0.01405	0.047883	0.181957	0.000362	0.051605	NA	0.001345	0.006496	0.00104	NA	0.004549	0.60193	0.00056	0.001696	0.005061	0.00051	0.02629	0.000613	0.000615	0.006279	0.003239	0.145861	0.190474	0.002287	0.04094	0.021985
ind3	0.001679	NA	0.008655	0.007682	0.04825	0.101157	NA	0.056707	NA	0.000365	0.002972	0.002198	NA	0.010625	1.348791	0.000419	0.001086	0.012367	NA	0.050369	NA	0.00579	0.018758	0.012618	0.190474	0.513226	NA	0.13357	0.022697
ind4	0.002222	0.000559	0.004784	0.020324	0.11505	0.320931	0.000533	0.130519	NA	0.001341	0.006955	0.00268	NA	0.017547	0.946932	NA	0.002274	0.00456	0.00047	0.039537	NA	0.000169	0.013502	0.002025	0.187678	0.225052	0.001905	0.106456	0.034134
ind5	0.001905	0.00025	0.039073	0.012177	0.028703	0.178171	0.000372	0.07206	NA	0.001097	0.006617	0.001471	NA	0.010824	0.91088	0.000091	0.001512	0.004378	0.000104	0.025371	0.000355	0.000548	0.008034	0.015212	0.149616	0.246786	0.001674	0.033017	0.031279
ind6	0.001613	0.000335	0.011714	0.019042	0.092227	0.223343	0.000564	0.044759	NA	0.002014	0.00794	0.001473	NA	0.013748	0.620427	0.000131	0.002296	0.003782	0.000197	0.031236	0.000311	0.001244	0.009607	0.007643	0.122966	0.177801	0.000983	0.041445	0.032404
ind7	0.001878	0.000414	0.012135	0.018871	0.141643	0.225365	0.000531	0.103259	NA	0.002031	0.005634	0.001289	NA	0.011159	0.796272	0.000197	0.002884	0.008853	0.000971	0.041073	0.000998	0.000189	0.011315	0.010779	0.227247	0.36942	0.002198	0.050497	0.012677
ind8	0.001409	0.001209	0.034427	0.029455	0.095237	0.201195	0.000671	0.149754	NA	0.000485	0.004612	0.000467	NA	0.017771	1.379998	NA	0.003644	0.009072	0.000454	0.046156	NA	0.001807	0.014861	0.007359	0.263462	0.423275	NA	0.064064	0.023727
ind9	0.001016	NA	0.005973	0.018207	0.062789	0.149858	0.001363	0.110083	NA	0.000374	0.003512	0.001625	NA	0.0153	0.871557	0.000348	0.002818	0.017285	0.000579	0.025928	0.000556	0.001102	0.019704	0.014789	0.192331	0.371818	0.000308	0.05891	0.010932
ind10	0.002023	0.000566	0.004187	0.030186	0.099442	0.468461	0.000694	0.16233	NA	0.002281	0.005467	0.002088	NA	0.017849	0.971981	NA	0.001618	0.004779	0.000431	0.032781	NA	NA	0.012508	0.001582	0.183138	0.257742	0.002118	0.073251	0.023634
