;AIMP1;BMP2;CCL1;CCL11;CCL13;CCL17;CCL2;CCL20;CCL23;CCL5;CCR1;CCR3;CCR4;CCR6;CCR8;CD40LG;CD70;CSF1;CSF2;CX3CL1;CX3CR1;CXCL11;CXCL12;CXCL13;CXCL6;CXCL9;CXCR1;CXCR4;FASLG;IFNA2;IFNG;IL10RA;IL10RB;IL11RA;IL12B;IL12RB1;IL12RB2;IL13;IL15;IL15RA;IL16;IL17A;IL17F;IL1A;IL1B;IL1R1;IL1R2;IL1RN;IL2;IL20;IL21;IL2RA;IL2RB;IL2RG;IL3;IL4;IL5;IL5RA;IL6;IL6R;IL7;IL8;IL8RB;IL9R;LOC708339;LOC710618;LOC712292;LOC714751;LOC716099;LTA;MIF;NAMPT;OSM;PF4;SPP1;TNF;TNFRSF11B;TNFSF10;TNFSF11;TNFSF13B;TNFSF14;TNFSF4;VEGFA;XCL1
MacIM-CTRL_D7_Tibialis_injected;0,352249;0,007757;NA;NA;0,007698;NA;0,001261;NA;0,000955;NA;NA;NA;NA;NA;0,000457;0,000445;0,001165;0,00906;NA;0,001449;0,014236;0,004209;0,430375;NA;NA;0,00089;NA;0,004612;NA;0,000558;NA;0,002722;0,032864;0,035839;NA;0,010235;0,009231;NA;0,008667;0,029578;0,009825;NA;NA;NA;0,001914;0,003483;0,000922;NA;0,005243;NA;0,000806;0,011643;NA;0,000893;NA;0,00077;NA;NA;0,002065;0,114123;0,000417;NA;0,000705;NA;NA;NA;NA;NA;NA;NA;0,12013;0,232559;NA;0,002993;0,005353;NA;0,000479;0,104724;NA;0,004108;NA;0,005254;0,160614;0,000587
Mac4_D7_Tibialis_injected;0,28185;0,009559;NA;0,001019;0,016816;NA;0,002613;NA;0,002052;0,002496;0,000557;0,000361;0,000551;NA;0,000503;0,000926;0,01764;0,023083;NA;0,001157;0,018906;0,0008;0,343171;0,000258;NA;0,00101;0,000611;0,003415;0,00103;0,000615;NA;0,007159;0,032986;0,029626;NA;0,00455;0,006944;0,000812;0,00882;0,018517;0,01647;NA;NA;NA;0,000597;0,009169;0,003149;NA;0,005197;NA;0,000374;0,009578;0,00044;0,000601;0,001755;0,000829;0,000665;0,000418;0,002575;0,083795;0,000287;NA;0,003394;NA;NA;NA;NA;0,00088;NA;0,00039;0,083853;0,289373;0,000277;0,005041;0,005144;0,000383;0,000699;0,053735;0,000293;0,003455;0,000763;0,00597;0,125;NA
Mac5_D7_Tibialis_injected;0,275922;0,014203;NA;0,000486;0,003437;0,000486;0,002955;NA;NA;0,002235;NA;NA;NA;NA;NA;0,000458;0,011985;0,014252;NA;0,000835;0,022676;0,003385;0,370702;NA;NA;0,002291;NA;0,004065;0,000465;0,000407;NA;0,001816;0,025005;0,030381;NA;0,006784;0,006742;0,000792;0,009574;0,020579;0,009108;NA;NA;NA;0,002029;0,002803;0,000563;NA;0,001579;NA;NA;0,005271;NA;0,000355;0,001262;0,000562;NA;NA;0,003418;0,150552;0,000702;NA;0,002544;NA;NA;NA;NA;0,020953;NA;NA;0,102901;0,344442;NA;0,00219;0,006365;0,000443;0,006303;0,064183;NA;0,000658;0,000948;0,006626;0,147556;NA
Mac1_D7_Tibialis_injected;0,343727;0,008773;NA;NA;0,000793;0,000285;0,003673;NA;NA;NA;NA;NA;NA;NA;0,000258;0,000616;0,004144;0,010433;NA;0,001009;0,012943;0,001156;0,291453;NA;NA;0,00075;0,000446;0,008958;NA;NA;NA;0,003751;0,03883;0,022489;NA;0,002569;0,002894;NA;0,016902;0,015456;0,011528;NA;0,000289;NA;0,000633;NA;0,001824;NA;0,007638;NA;0,00081;0,012118;NA;0,000942;NA;0,000478;NA;NA;0,001911;0,062601;0,002042;0,000608;0,003593;NA;NA;NA;NA;NA;NA;NA;0,138824;0,343013;NA;0,00424;0,0008;0,000432;0,00055;0,08393;NA;0,003017;0,000563;0,004963;0,116899;0,000306
Mac2_D7_Tibialis_injected;0,227931;0,017154;NA;0,00025;0,005592;0,00035;0,007415;NA;0,000348;0,000326;0,000441;NA;NA;NA;0,000724;0,000468;0,002282;0,016894;NA;0,00168;0,016743;0,000964;0,281395;NA;NA;0,001777;0,000485;0,00583;NA;NA;NA;0,0051;0,019842;0,044031;NA;0,00122;0,004725;NA;0,007751;0,011806;0,017321;NA;NA;NA;0,002276;0,005327;0,000944;NA;0,00191;NA;0,00049;0,007074;NA;0,000946;NA;0,001293;NA;NA;0,001856;0,105453;0,001344;0,00046;0,00206;NA;NA;NA;NA;NA;0,000243;NA;0,12038;0,201754;NA;0,003284;0,002754;0,000399;0,005376;0,082909;NA;0,005012;0,000245;0,00218;0,102073;0,000587
Mac3_D7_Tibialis_injected;0,304251;0,008146;NA;0,000479;0,003466;0,000685;0,008266;NA;0,000348;0,000361;0,000389;NA;NA;NA;0,000379;0,00048;0,001135;0,010169;NA;0,00128;0,016225;0,002029;0,281915;NA;NA;0,005595;NA;0,002412;NA;NA;NA;0,002702;0,023607;0,035386;NA;0,005618;0,003814;NA;0,009521;0,017841;0,00775;NA;NA;NA;0,001145;0,010704;0,001127;NA;0,001102;NA;NA;0,006789;NA;0,000734;NA;0,000375;NA;NA;0,000854;0,114255;0,000437;0,000345;0,001467;NA;NA;NA;NA;NA;0,000372;NA;0,116494;0,298403;NA;0,003771;0,001302;0,001268;0,000256;0,13625;NA;0,003829;0,000256;0,003383;0,300687;0,000228
MacIM-CTRL_D7_Tibialis_controlateral;0,305448;0,010554;0,000672;NA;0,022251;0,000354;0,002308;NA;0,000375;0,000878;0,000475;NA;0,000249;NA;0,000853;0,000705;0,002635;0,01929;NA;0,00192;0,016232;0,002836;0,364755;NA;NA;0,000914;NA;0,005097;NA;0,000447;NA;0,005723;0,036651;0,036727;NA;0,013773;0,008195;NA;0,006934;0,027167;0,014741;NA;NA;NA;0,00109;0,00488;0,001456;NA;0,006634;NA;0,001191;0,012387;0,000211;0,001016;NA;0,000668;NA;NA;0,00223;0,132678;0,000238;0,000436;0,003446;NA;NA;NA;NA;0,000251;NA;NA;0,110875;0,231808;NA;0,004158;0,00489;NA;0,000834;0,096321;NA;0,004219;0,000372;0,005392;0,169458;NA
Mac4_D7_Tibialis_controlateral;0,301313;0,013206;NA;0,000372;0,006951;0,000442;0,001653;NA;0,002069;0,001606;NA;NA;0,000616;NA;0,000331;NA;0,014193;0,015968;NA;0,002002;0,041387;0,001691;0,244742;NA;NA;0,001561;NA;0,00249;NA;0,000655;NA;0,003102;0,031518;0,03995;NA;0,006521;0,007606;0,000776;0,007023;0,021572;0,014796;NA;NA;NA;0,000422;0,007744;0,002544;NA;0,002807;0,000334;0,000936;0,015413;0,000354;0,000375;0,00066;0,001082;0,000303;0,000344;0,001516;0,172819;NA;NA;0,001692;NA;NA;NA;NA;0,000481;0,000582;NA;0,104265;0,345638;NA;0,002229;0,00304;0,000457;0,000697;0,073778;NA;0,001772;0,000726;0,006347;0,13777;0,000524
Mac5_D7_Tibialis_controlateral;0,247357;0,012821;NA;NA;0,003749;NA;0,005135;NA;0,000462;0,000695;NA;NA;0,000434;NA;0,000609;0,000736;0,002859;0,013036;NA;0,000622;0,019897;0,002915;0,369761;NA;NA;NA;NA;0,00317;NA;0,000382;NA;0,002589;0,020655;0,027123;NA;0,013163;0,0063;NA;0,007909;0,018082;0,009072;NA;NA;NA;0,001265;0,003828;0,000797;NA;0,001562;NA;NA;0,007182;NA;0,000458;NA;0,00062;NA;NA;0,00252;0,151319;0,000577;NA;0,002005;NA;NA;NA;NA;NA;NA;NA;0,084651;0,341195;NA;0,005977;0,005515;NA;0,004288;0,058951;NA;0,001946;0,00062;0,005146;0,13422;NA
Mac1_D7_Tibialis_controlateral;0,318272;0,006535;NA;NA;0,002064;0,000609;0,003798;NA;0,000314;NA;0,000392;NA;NA;NA;NA;0,000571;0,001168;0,010412;NA;0,000831;0,008364;0,000311;0,259235;NA;NA;NA;0,000307;0,004526;NA;NA;NA;0,001871;0,034586;0,022913;NA;0,002835;0,001602;NA;0,010623;0,015339;0,010477;NA;NA;NA;0,0015;NA;NA;NA;0,002196;NA;NA;0,012934;NA;0,000723;NA;0,000387;NA;NA;0,001643;0,060511;0,001076;0,000407;0,002435;NA;NA;NA;NA;0,000237;NA;NA;0,113545;0,33829;NA;0,001846;0,000371;0,001003;0,00043;0,075016;NA;0,003245;0,000206;0,003061;0,111672;0,000322
Mac2_D7_Tibialis_controlateral;0,292329;0,003892;NA;0,000225;0,000802;0,000823;0,001283;NA;0,000293;0,000444;NA;0,000212;0,000679;0,00082;0,000752;0,001713;0,000429;0,006103;NA;0,001284;0,017309;0,000409;0,265111;0,001539;NA;0,000782;NA;0,008637;NA;NA;NA;0,003527;0,023694;0,033835;NA;0,001106;0,003634;NA;0,007576;0,016262;0,018258;NA;NA;NA;0,001575;0,002609;0,000569;NA;0,001852;NA;0,000197;0,007247;0,000388;0,005302;NA;0,000763;NA;NA;0,001547;0,088983;0,001031;0,000732;0,004517;NA;NA;NA;NA;0,000229;NA;0,000444;0,095767;0,221698;NA;0,007167;0,001485;0,001564;0,00057;0,095833;0,00032;0,003362;0,000603;0,00444;0,145054;0,000885
Mac3_D7_Tibialis_controlateral;0,286115;0,007083;NA;0,000544;0,001144;0,001678;0,003056;NA;NA;0,000403;NA;NA;NA;NA;0,000566;0,000493;0,000663;0,014666;NA;0,001957;0,012964;0,000757;0,28159;NA;NA;0,002763;NA;0,004049;NA;NA;NA;0,003309;0,02859;0,035345;NA;0,006701;0,004415;NA;0,011611;0,015449;0,008703;NA;NA;NA;0,001244;0,007359;0,001112;NA;0,001125;NA;NA;0,006065;NA;0,000837;NA;NA;NA;NA;0,00122;0,101017;0,000507;0,000476;0,001623;NA;NA;NA;NA;NA;NA;NA;0,104797;0,243614;NA;0,010087;0,000877;0,000864;0,000745;0,127332;NA;0,001642;0,000759;0,004174;0,209594;NA
MacIM-CTRL_D30_Tibialis_injected;0,235642;0,009649;0,000536;0,002002;0,011913;0,003589;0,05612;NA;0,002504;0,017759;0,009022;0,000658;0,002429;0,000567;0,000746;0,004947;0,00679;0,039711;NA;0,002925;0,015643;0,036113;0,457444;0,001407;NA;0,165932;NA;0,061455;0,009314;NA;0,002221;0,050895;0,097238;0,057858;0,002249;0,006833;0,01483;NA;0,016929;0,042531;0,051463;NA;NA;NA;0,001174;0,017023;0,002986;0,001826;0,002931;NA;0,00164;0,005269;0,00624;0,016604;NA;0,000951;NA;NA;0,004297;0,211344;0,003791;0,00048;0,019166;0,000795;0,000436;NA;NA;0,002653;NA;0,000528;0,281785;0,137325;NA;0,000413;0,005911;0,005577;0,00117;0,186684;0,00205;0,054397;0,001923;0,018233;0,093536;0,005302
